Island_Name,Acreage,continent,Country,latitude,longitude,price,Large Acreage,Ocean Island,Income Potential,Islands with Beaches
Rangyai Island,110,Asia,Thailand,7.95439,98.447306,160000000,yes,yes,yes,yes
Spectabilis Island,460,North America,Bahamas,24.3580321,-76.5821528,62000000,yes,yes,yes,yes
Cave Cay,222,North America,Bahamas,23.90161109,-76.263142,60000000,yes,yes,yes,yes
Nengo Nengo Atoll,2223,Europe,France,-18.75310202,-141.8078964,55778670,yes,yes,yes,yes
Kandoo Island,42,Asia,Maldives,5.852108073,73.33656117,Price Upon Request,yes,yes,yes,yes
Vadinolhu Island Resort,19,North America,Maldives,2.017677168,73.35921793,Joint Venture Opportunity,no,yes,yes,yes
Serenity Beaches Resort,8,South Pacific Ocean,Tonga,-19.85349112,-174.4123737,Price Upon Request,no,yes,no,yes
Igoigori Island,150,Oceania,Papua New Guinea,-10.72591195,150.2897003,Price Upon Request,yes,yes,no,yes
Ngerbelas Island,21,Oceania,Palau,8.043057052,134.6996993,Price Upon Request,yes,yes,no,yes
Big Scrub Island,170,Europe,United Kingdom,18.4678241,-64.5125777,Price Upon Request,yes,yes,yes,yes
Lovango Cay,5,North America,United States of America,18.3624533,-64.8037499,Price Upon Request,no,yes,yes,yes
Tojo Una Una Island,3089,Asia,Indonesia,-0.745349089,121.7649526,Price Upon Request,yes,yes,no,yes
Ginger Island,258,Europe,United Kingdom,18.3851746,-64.4777837,Under Contract,yes,yes,yes,yes
Praia do Algodão,29,South America,Brazil,-23.0057347,-44.3157591,Price Upon Request,no,yes,yes,yes
Blunder Bay Estates,1,Europe,United Kingdom,18.4939059,-64.4022877,Price Upon Request,no,yes,yes,yes
Mounu Island Resort,7,South Pacific Ocean,Tonga,-18.7512793,-174.0679451,Price Upon Request,no,yes,no,yes
Pelican Island,32,Caribbean,Antigua,17.10543694,-61.70393618,Sold,no,yes,yes,yes
Isla Rancheria,310,Central America,Panama,8.26783,-82.422245,Price Upon Request,yes,yes,no,yes
"Blackbook Listing
(2521)",0,,SVG,13.0100514,-61.2306446,Price Upon Request,yes,yes,no,yes
Darby Island,554,North America,Bahamas,23.8495955,-76.2276337,46000000,yes,yes,yes,yes
"Blackbook Listing
(2106)",0,Asia,Turks and Caicos,21.85,-72.1166667,Price Upon Request,yes,yes,yes,yes
Motu Tane,10,europe,France,-16.4490481,-151.7630533,39000000,no,yes,yes,yes
Organica Beach,1492,Oceania,Panama,8.309173447,-78.97023417,38000000,no,yes,no,yes
Villa Katsura,3,Europe,United Kingdom,18.48984276,-64.41457799,Price Upon Request,no,yes,yes,yes
Little Ragged Island,700,North America,Bahamas,22.1649094,-75.7051647,35000000,yes,yes,yes,yes
Big Grand Cay Archipelago,213,North America,Bahamas,27.22157838,-78.3162855,29000000,yes,yes,yes,yes
Frozen Cay and Alder Cay,84,North America,Bahamas,25.54368054,-77.71368027,29000000,yes,yes,yes,yes
Bird Cay,250,North America,Bahamas,25.4003556,-77.815285,26000000,yes,yes,no,yes
Kanacea Island,3085,South Pacific Ocean,Fiji,-17.263613,-179.151735,26000000,yes,yes,no,yes
10 Kilometers Beachfront,2213,Central America,Belize,16.25372436,-88.58094174,Price Upon Request,yes,yes,no,yes
Lighthouse Cay,765,North America,Bahamas,24.627201,-76.14727,Off the Market,yes,yes,yes,yes
Matana South Seas Plantation,806,South Pacific Ocean,Fiji,-17.26058769,179.3499755,25000000,yes,yes,no,yes
Lera Cay,80,North America,Bahamas,24.7615833,-76.26819444,24000000,no,yes,yes,yes
Leaf Cay Private Residences,15,North America,Bahamas,24.150151,-76.473169,24000000,no,yes,yes,yes
Pakatoa Island,60,Oceania,New Zealand,-36.7961147,175.1939382,Price Upon Request,yes,yes,no,yes
The Plantation,495,Central America,Belize,16.587928,-88.3626546,21000000,yes,yes,no,yes
Half Moon Cay,10,Central America,Honduras,16.44171202,-85.8487786,Price Upon Request,no,yes,yes,yes
Ile de Caille,400,Europe,Grenada,12.287246,-61.583143,20000000,yes,yes,yes,yes
Whale Cay,575,North America,Bahamas,25.41078957,-77.78529086,Off the Market,yes,yes,yes,yes
Jwycesska Island,351,North America,Bahamas,27.1206248,-78.0837346,19000000,yes,yes,no,yes
Violin Island,321,North America,Mexico,18.8098599,-88.08766326,18000000,yes,yes,no,yes
Gumelemi Cay,8,North America,Bahamas,26.7001865,-77.1767345,Off the Market,no,yes,yes,yes
Frozen Cay,40,North America,Bahamas,25.54858434,-77.71307239,17000000,no,yes,yes,yes
Hopkins Island,13,North America,United States of America,24.629443,-81.379735,Off the Market,no,yes,yes,yes
World Island Project (D98),12,asia,United Arab Emirates,25.23106081,55.16747742,16000000,no,yes,yes,yes
Palm Island,4,North America,United States of America,24.71244876,-81.10686047,15500000,no,yes,yes,yes
Terra's Key,16,North America,United States of America,24.89268869,-80.6589413,15000000,no,yes,yes,yes
"Blackbook Listing
(2602)",0,South Pacific Ocean,Fiji,-17.7765356,177.4356227,Price Upon Request,yes,yes,no,yes
"Blackbook Listing
(2538)",0,Central America,Belize,17.5045661,-88.1962133,Price Upon Request,yes,yes,yes,yes
Alder Cay,43,North America,Bahamas,25.5368382,-77.7144461,15000000,no,yes,yes,yes
Cebaco Island,7410,Central America,Panama,7.5527201,-81.0865035,15000000,yes,yes,yes,yes
Big Sampson Cay,121,North America,Bahamas,24.2122708,-76.4772748,14500000,yes,yes,yes,yes
Walker's Cay,58,North America,Bahamas,27.259665,-78.401442,Sold,yes,yes,yes,yes
Wavi Island,27,South Pacific Ocean,Fiji,-16.802836,179.4113086,Price Upon Request,yes,yes,yes,yes
Petit Nevis,71,,SVG,12.973634,-61.243501,Price Upon Request,yes,yes,yes,yes
Elizabeth Island Property,38,North America,Bahamas,23.50371226,-75.72022721,14000000,yes,yes,yes,yes
False Caye,60,Central America,Belize,16.60202345,-88.33885701,12000000,yes,yes,no,yes
Saddleback Cay,47,North America,Bahamas,24.65410896,-76.81091309,11800000,yes,yes,yes,yes
Pepin Island,1280,Oceania,New Zealand,-41.1507105,173.4264652,11467068,yes,yes,yes,yes
The Duke Group Archipelago,3300,Australia,Australia,-21.983476,150.16094,11379153,yes,yes,yes,yes
Northern Aegean Island,34,Europe,Greece,37.99485182,24.25883961,Price Upon Request,yes,yes,no,yes
Spalathronisi Island,26,Europe,Greece,40.02083644,23.80756466,11155734,yes,yes,no,yes
Nakacha Huraa Lagoon,29,Asia,Maldives,4.344239685,73.39064277,11000000,yes,yes,no,yes
Isla Puerco,160,Central America,Panama,8.367481612,-78.80789274,11000000,yes,yes,no,yes
Kuramaadhoo Island,44,Asia,Maldives,5.873270623,73.14355549,10765283,yes,yes,yes,yes
Lambay Cay,7,Central America,Honduras,15.96111581,-86.47149515,Price Upon Request,no,yes,no,yes
"Blackbook Listing
(2096)",0,europe,Seychelles,-4.679574,55.491977,Price Upon Request,yes,yes,no,yes
Young Island Resort,13,,SVG,13.13102202,-61.20260967,10000000,no,yes,no,yes
Blue Island,700,North America,Bahamas,23.39137402,-75.47457291,Price Upon Request,yes,yes,yes,yes
Lataro Island,719,South Pacific Ocean,Vanuatu,-15.26504,167.191537,9995000,yes,yes,yes,yes
Great Sale Cay,370,North America,Bahamas,26.9966296,-78.2105857,9900000,yes,yes,yes,yes
Lumber Cay,30,North America,Bahamas,24.16177499,-76.43001559,9400000,yes,yes,no,yes
Jim Cay,8,North America,Bahamas,23.88347616,-76.25602703,9000000,no,yes,no,yes
Leaf Cay,30,North America,Bahamas,23.7861,-76.1271,8500000,no,yes,yes,yes
Roberts Cay,20,North America,Bahamas,24.79663025,-76.83172742,8000000,no,yes,yes,yes
Sandy Cay,8,North America,Bahamas,26.58372647,-77.00692411,Sold,no,yes,yes,yes
Nukudrau Island,46,South Pacific Ocean,Fiji,-16.73481283,179.5813592,Price Upon Request,yes,yes,yes,yes
Sipson Island,25,North America,United States of America,41.73655372,-69.96322045,7985000,yes,yes,yes,yes
Devils Cay,117,North America,Bahamas,25.600664,-77.728615,7950000,yes,yes,yes,yes
Powell Cay,294,North America,Bahamas,26.9081888,-77.4773674,7895000,yes,yes,yes,yes
Kaashihulhudhoo Island,38,Asia,Maldives,0.488143835,72.9946243,7809014,yes,yes,no,yes
Horse Island,157,Europe,Ireland,51.5163046,-9.4680023,7530120,yes,yes,yes,yes
Adavaci Island,102,South Pacific Ocean,Fiji,-17.20005219,-179.0071173,7500000,yes,yes,no,yes
Petit Trou Peninsula,50,Europe,Grenada,12.02500832,-61.65944517,7500000,yes,yes,no,yes
Parida Island,217,Central America,Panama,8.129464809,-82.33203874,7500000,yes,yes,yes,yes
Aese Island,1690,South Pacific Ocean,Vanuatu,-15.4316954,167.2491365,7500000,yes,yes,no,yes
Sand Dollar Cay,24,North America,Bahamas,25.57000759,-77.72329343,7200000,no,yes,yes,yes
Motu Rauoro,18,Europe,France,-16.57289759,-151.4435715,7137689,no,yes,no,yes
Sawyer's Cay,6,North America,Bahamas,25.539214,-76.805107,7050000,no,yes,yes,yes
Bonefish Cay 135-acres,14,North America,Bahamas,26.89035728,-77.45121036,7000000,no,yes,yes,yes
40-acre Beachfront Property on Ambergris Caye,40,Central America,Belize,18.001592,-87.9432837,6999500,yes,yes,no,yes
Rai Ki Wai Estate,47,South Pacific Ocean,Fiji,-17.6160613,179.0012007,Sold,yes,yes,no,yes
Vargas Island Lot,65,North America,Canada,49.20290006,-126.0364708,6600000,yes,yes,no,yes
"Blackbook Listing
(2534)",0,North America,United States of America,18.335765,-64.896335,Price Upon Request,yes,yes,no,yes
Motu Moie,20,Europe,France,-16.55814343,-151.5119238,6500000,no,yes,yes,yes
Toberua Island Resort,5,South Pacific Ocean,Fiji,-17.9749062,178.7047,6200000,no,yes,no,yes
Maosonon Island,112,Asia,Philippines,11.24281773,119.6819884,Sold,yes,yes,no,yes
Dao Island,118,Asia,Philippines,12.053276,119.793267,Price Upon Request,yes,yes,no,yes
Kelefesia Island,32,South Pacific Ocean,Tonga,-20.50159302,-174.7357549,6000000,yes,yes,no,yes
Johnny's Cay,4,North America,Bahamas,26.5677383,-76.972407,Sold,no,yes,yes,yes
Janoyoy Island,4,Asia,Philippines,9.7546852,126.1312853,5600000,no,yes,no,yes
Manta Caye,8,Central America,Belize,16.71364949,-87.85164532,Sold,no,yes,yes,yes
Pierre Island,16,North America,Bahamas,25.556148,-76.659508,5495000,no,yes,yes,yes
"Blackbook Listing
(2107)",0,North America,Bahamas,26.8732996,-77.9038897,Price Upon Request,yes,yes,yes,yes
Hood Island,4,North America,Canada,48.71547279,-123.3728567,Sold,no,yes,no,yes
Fishermans Caye,42,Central America,Belize,16.67224098,-88.18980941,4995000,yes,yes,no,yes
Tivi Island,150,South Pacific Ocean,Fiji,-16.27203553,179.4687919,4995000,yes,yes,no,yes
Isla Brava,140,Central America,Panama,8.183084277,-82.25595583,4600000,yes,yes,no,yes
Big Fish Cay,55,North America,Bahamas,27.0493621,-77.8374429,4500000,yes,yes,yes,yes
65-Acre Private Island Resort,7,Central America,Belize,17.57505727,-88.06418953,4500000,no,yes,yes,yes
"Hawks Nest Cay, 26 acres",26,North America,Bahamas,25.74837226,-77.82012835,4500000,yes,yes,no,yes
Valiha Island,950,Africa,Madagascar,-12.385039,48.70694,4462294,yes,yes,no,yes
Montego Caye,119,Central America,Belize,17.58676973,-88.08263121,4250000,yes,yes,no,yes
Four Islands in Panama,45,Central America,Panama,9.593418152,-79.66480579,4000000,yes,yes,no,yes
1 Mandalay Island,3,North America,United States of America,27.1813275,-80.1868135,3995000,no,yes,yes,yes
Puenta Vieja Parcel,30,Central America,Panama,9.293775185,-82.08274236,3988000,yes,yes,no,yes
Wild Berry Cay,100,North America,Bahamas,25.4618921,-77.793122,3950000,yes,yes,yes,yes
Turtle Island Australia,23,Australia,Australia,-23.798903,151.26486,Sold,yes,yes,yes,yes
Petite Cay,36,North America,Bahamas,25.77258699,-77.83449938,3750000,yes,yes,no,yes
Medio Island,99,Asia,Philippines,12.38,124.040556,3500000,yes,yes,no,yes
Isla Bonita,20,South America,Brazil,-22.99182316,-43.91033297,3500000,no,yes,yes,yes
Mai Island,32,South Pacific Ocean,Fiji,-16.199549,179.8364185,Price Upon Request,yes,yes,yes,yes
Wild Duck Island,300,Australia,Australia,-22.006397,149.8555,3413746,yes,yes,yes,yes
Dumunpalit Island,75,,NA,12.3830556,120.1172222,3400000,yes,yes,no,yes
Fazenda Cipo Island,25,South America,Brazil,-13.76174421,-39.10269776,3346720,yes,yes,no,yes
Kythnos Island parcel,187,Europe,Greece,37.3933984,24.4173321,3235163,yes,yes,no,yes
Moho Caye,8,Central America,Belize,16.499695,-88.167182,Sold,no,yes,yes,yes
The Carolina Cays,256,North America,United States of America,35.87920326,-75.63056954,3200000,yes,yes,no,yes
Soneva Jani,1,Asia,Maldives,5.711668231,73.4150004,3000000,no,yes,yes,yes
Soneva Fushi,1,Asia,Maldives,5.111997,73.078154,3000000,no,yes,yes,yes
Islas Marias,27,Central America,Panama,7.709913692,-81.0713437,3000000,yes,yes,no,yes
Pucoy Island,141,Asia,Philippines,11.7516371,119.9581538,3000000,yes,yes,no,yes
Victor Island Escape,8,Australia,Australia,-21.32316435,149.322194,Price Upon Request,no,yes,yes,yes
Nukanamo Island,22,South Pacific Ocean,Tonga,-19.7148956,-174.2762048,Off the Market,yes,yes,no,yes
Kadomo Island,70,South Pacific Ocean,Fiji,-17.492508,177.0518092,2980000,yes,yes,no,yes
High Cay,31,North America,Bahamas,23.94918102,-74.47672763,2950000,no,yes,no,yes
Palm Ridge Property,5,Europe,United Kingdom,18.42241287,-64.6209043,2800000,no,yes,yes,yes
Turtle Caye,19,Central America,Belize,17.45553015,-88.0621995,2700000,no,yes,no,yes
Camp Island Silver Shoals Lodge,6,Australia,Australia,-19.84981274,147.9021199,2655136,no,yes,yes,yes
Cedar Island,202,North America,United States of America,35.0070105,-76.3334372,2645000,no,yes,no,yes
Rainforest Caye,37,Central America,Belize,16.17889,-88.64083,2600000,yes,yes,no,yes
Crescent Island,4,North America,United States of America,26.48836,-82.0881422,2599000,no,yes,yes,yes
A Dream Come True Villa,1,Europe,United Kingdom,18.47156065,-64.41411892,2500000,no,yes,yes,yes
Hog Island,600,North America,United States of America,34.99798588,-76.27692149,2500000,yes,yes,no,yes
Cayo Geraldo,25,North America,United States of America,17.93586606,-66.29919113,Sold,yes,yes,yes,yes
South Cocoplum Caye,6,Central America,Belize,16.87458263,-88.12174074,2500000,no,yes,no,yes
Koro Levu Island,8,South Pacific Ocean,Fiji,-16.7666667,-179.9833333,2500000,no,yes,no,yes
Perpall Cayes,158,North America,Bahamas,23.466671,-75.833302,2500000,yes,yes,no,yes
Morgans Caye,28,Central America,Belize,17.44995987,-88.07038551,2500000,yes,yes,no,yes
Bull Island,175,North America,Canada,49.48533694,-124.1961406,Sold,yes,yes,no,yes
Low Cay,25,North America,Bahamas,23.93885,-74.481318,2300000,no,yes,no,yes
Goat Island,12,North America,Canada,48.85054641,-123.4797544,2156640,no,yes,no,yes
Malvanua Island,26,South Pacific Ocean,Vanuatu,-15.36063942,167.1941274,2048248,yes,yes,yes,yes
Pilotin Island,335,South Pacific Ocean,Vanuatu,-15.28652964,167.2158695,2000000,yes,yes,no,yes
San Miguel Archipelago,163,Central America,Panama,8.389341745,-78.18959325,2000000,yes,yes,no,yes
Platanal Island,6,Central America,Panama,8.4447581,-79.0072883,Off the Market,no,yes,no,yes
Big Bullard Cay,97,North America,Bahamas,23.486761,-75.8111127,2000000,yes,yes,no,yes
Tilagica Island,53,South Pacific Ocean,Fiji,-16.18825737,179.7783122,1975000,yes,yes,yes,yes
Bracilette Caye Parcel,48,Central America,Belize,18.050235,-87.943025,1950000,yes,yes,no,yes
Davuilau Island,54,South Pacific Ocean,Fiji,-16.98021829,177.3273625,1900000,yes,yes,no,yes
Isla Gallina,22,Central America,Panama,8.454191263,-78.93070394,1850000,yes,yes,no,yes
Isla Lacao,206,South America,Chile,-41.808333,-73.618889,1600000,yes,yes,no,yes
Tinabian Island,99,Asia,Philippines,12.93594173,121.708099,1600000,yes,yes,no,yes
Castaway Island,2,South Pacific Ocean,Vanuatu,-15.61318414,167.1453821,Sold,no,yes,yes,yes
Double Bay Islands,1,Central America,Honduras,16.09326334,-86.93247805,1590000,no,yes,yes,yes
Quoin Island,12,Australia,Australia,-23.81211266,151.2863292,1517220,no,yes,no,yes
"Hawks Nest Cay, Cat Island",42,North America,Bahamas,24.14264198,-75.52117791,1500000,yes,yes,no,yes
Pedro Island,3,Central America,Belize,18.10348223,-87.97037802,1500000,no,yes,no,yes
Jewfish Key,1,North America,United States of America,27.44269724,-82.67928746,1500000,no,yes,yes,yes
Green Paradise Island,32,Asia,Philippines,10.2418,119.327,1500000,yes,yes,no,yes
Deer Island,90,North America,United States of America,29.235797,-83.079014,1499999,yes,yes,no,yes
xCasco Bay Islandx,41,North America,Canada,44.955627,-66.931286,Sold,no,yes,yes,yes
Archipelago Resorts,1,Asia,Philippines,12.062152,119.877113,1450000,yes,yes,no,yes
Kokomo Property,3,Europe,United Kingdom,18.46314012,-64.53645166,1400000,no,yes,yes,yes
"Blue Island, Nova Scotia",188,North America,Canada,43.68193257,-65.17616137,Sold,yes,yes,yes,yes
Third Cay,4,North America,Bahamas,25.50274393,-76.63387944,1350000,no,yes,no,yes
Zuna Island,1,Australia,Australia,-10.7196645,142.2921816,1300000,no,yes,yes,yes
Royal Sunset Island Resort,9,South Pacific Ocean,Tonga,-21.056082,-175.2575066,1265000,yes,yes,yes,yes
Camanga Island,75,Asia,Philippines,12.29851489,120.261611,1257267,yes,yes,no,yes
Long Point Island,56,North America,United States of America,36.39923118,-75.95590126,1250000,yes,yes,no,yes
Saints Bay Island,6,South America,Brazil,-12.83101963,-38.83541979,1240310,no,yes,yes,yes
Kangaroo Island,410,Australia,Australia,-25.43044655,152.88147,Sold,yes,yes,no,yes
Hatobanari Island,2,Asia,Japan,24.4188889,123.8211111,1200000,no,yes,no,yes
Casa Brisa by the Sea,3,Central America,Belize,17.955283,-87.982754,Under Contract,no,yes,yes,yes
Punta Entrada,15,Central America,Panama,8.075169525,-81.73653894,1200000,no,yes,no,yes
Isla Tortuga,309,South America,Chile,-40.70216346,-73.80208802,1200000,yes,yes,no,yes
Sumba Island Properties,5,Asia,Indonesia,-9.769974747,119.3669872,Price Upon Request,yes,yes,no,yes
Surf Beach Property,4,Asia,Indonesia,-9.6993439,119.9740534,Price Upon Request,no,yes,no,yes
Goring Bogue Caye,6,Central America,Belize,17.42214126,-88.06983843,1100000,no,yes,no,yes
Jewfish Key Beachfront Lot,1,North America,United States of America,27.44383832,-82.68076818,1100000,no,yes,no,yes
Prince Cay,9,North America,Bahamas,26.95155712,-77.60854042,Under Contract,no,yes,yes,yes
3-acre Parcel on Long Island,3,North America,Bahamas,23.467654,-75.22330296,1000000,no,yes,no,yes
Tavewa Island Property,5,South Pacific Ocean,Fiji,-16.9262847,177.3599795,Price Upon Request,no,yes,no,yes
Yellow Rock Island,330,Australia,Australia,-30.48133676,153.0258974,1000000,yes,yes,no,yes
Johnston Island,12,North America,United States of America,44.02419477,-69.39096369,Sold,no,yes,yes,yes
Blue Hole Cay,12,North America,Bahamas,24.20563708,-77.60982513,995000,no,yes,yes,yes
Coco Plum Cay,5,Central America,Honduras,16.4222384,-86.19093608,990000,no,yes,yes,yes
Golfo Dulce Island Property,32,North America,Costa Rica,8.595437982,-83.17390429,980000,yes,yes,yes,yes
Marakorako Island,8,Europe,France,-14.4028975,-145.958135,949684,no,yes,yes,yes
Guilihan Island,3,Asia,Philippines,9.719752,126.074347,900000,no,yes,yes,yes
Bells Island,62,North America,United States of America,34.7324956,-76.5014502,895000,yes,yes,no,yes
"Deep Water Cay, Grand Bahama",91,North America,Bahamas,26.63093955,-77.9212028,885000,yes,yes,yes,yes
Indigo Point,4,Europe,United Kingdom,18.45760396,-64.53791078,875000,no,yes,no,yes
Soldier Caye,5,Central America,Belize,17.3247955,-87.78887264,800000,no,yes,no,yes
Green Bay Island,15,Asia,Philippines,10.25755871,119.3683705,800000,no,yes,yes,yes
Bonefish Cay,6,North America,Bahamas,24.31493263,-77.82401389,795000,no,yes,no,yes
Nanuku Levu Island,11,South Pacific Ocean,Fiji,-16.71884508,-179.4537766,Sold,no,yes,yes,yes
Lime Cay,10,Central America,Nicaragua,12.438022,-83.432515,Sold,no,yes,no,yes
Exile Island,15,South Pacific Ocean,Fiji,-16.27112627,179.4339395,Price Upon Request,no,yes,no,yes
Golding Cay,3,North America,Bahamas,25.52991249,-76.85076354,700000,no,yes,no,yes
Isla Leo,2,Central America,Panama,9.576708517,-79.34258108,699000,no,yes,yes,yes
Motu Opuou,1,Europe,France,-16.56129786,-151.4558983,Sold,no,yes,no,yes
Bachelor Island,4,North America,United States of America,34.71263294,-76.52287334,650000,no,yes,yes,yes
Diamond Cay,1,Central America,Honduras,16.11351191,-86.94188999,Off the Market,no,yes,no,yes
Ahe Atoll Motu,17,Europe,France,-14.43103498,-146.2771855,Off the Market,no,yes,yes,yes
West Snake Caye,9,Central America,Belize,16.19133585,-88.57158939,600000,no,yes,no,yes
Isla Quiros,4,Central America,Panama,8.43453117,-78.98300071,Price Upon Request,no,yes,no,yes
Tilloo Pond,11,North America,Bahamas,26.44429688,-76.98829407,Price Upon Request,no,yes,yes,yes
Opal Caye,5,Central America,Belize,16.5003199,-88.28689465,499000,no,yes,no,yes
Virginia Caye,4,Central America,Belize,16.79707974,-88.15528766,499000,no,yes,yes,yes
Kalgin Island,5,North America,United States of America,60.4760675,-151.91807,460000,yes,yes,yes,yes
Motu Tohepuku,19,Europe,France,-16.16930465,-144.7855877,444996,no,yes,no,yes
Salt Cay Parcels,2,Asia,Turks and Caicos,21.34055159,-71.20063545,399000,no,yes,yes,yes
Ropewalk Caye,7,Central America,Belize,17.22815493,-87.8611848,Off the Market,no,yes,no,yes
Hat Caye,1,Central America,Belize,17.17524234,-87.61968766,399000,no,yes,no,yes
Indian Islands,45,North America,Canada,45.61251625,-60.99668373,378282,no,yes,no,yes
2630,2,Central America,Belize,16.53769891,-88.36295402,375000,no,yes,no,yes
2-Acre Private Island Near Placencia,2,Central America,Belize,16.5601395,-88.19811619,375000,no,yes,no,yes
Tahifehifa Island,1,South Pacific Ocean,Tonga,-18.81105241,-173.9976131,Off the Market,no,yes,no,yes
Deadman Caye 14 acres,1,Central America,Belize,17.196611,-87.864445,299000,no,yes,no,yes
Lark Caye,3,Central America,Belize,16.51225245,-88.25902113,295000,no,yes,no,yes
Spider Caye,1,Central America,Belize,16.53495247,-88.0908299,275000,no,yes,no,yes
Motu Matatahi,2,Europe,France,-15.14570266,-147.913227,261761,no,yes,no,yes
Pink Pearl Island,1,Central America,Nicaragua,12.4373519,-83.4229208,Under Contract,no,yes,no,yes
El Nido Peninsula,3,Asia,Philippines,11.10355231,119.3348738,199000,no,yes,no,yes
Deadman Caye 699acres,1,Central America,Belize,17.19308524,-87.86650494,199000,no,yes,no,yes
Angus Island,15,North America,Canada,44.84903186,-62.4513146,190000,no,yes,no,yes
Wee Wee Caye,2,Central America,Belize,16.76491375,-88.14241775,180000,no,yes,yes,yes
Spuhn Island Lots,2,North America,United States of America,58.34109686,-134.6579924,169900,no,yes,no,yes
Cockroach Bay,10,Central America,Belize,17.49623791,-87.78329345,150000,no,yes,no,yes
"6-Acre Beachfront Parcel, Southern Long Caye",6,Central America,Belize,17.08039087,-88.03664304,150000,no,yes,no,yes
Deadman Caye 941 acres,1,Central America,Belize,17.19452015,-87.86598995,149000,no,yes,no,yes
Spanish Lookout Caye,186,Central America,Belize,17.4127159,-88.07015903,Sold,yes,yes,no,yes
Tikina-i-ra Island,10233,South Pacific Ocean,Fiji,-16.76888391,178.4899028,Price By Negotiation,yes,yes,no,yes
Jupiter Island,642,South America,Ecuador,0.432841,-80.05711,Price Upon Request,yes,yes,no,yes
2620,1350,Europe,Greece,38.06930955,19.02532071,Price Upon Request,yes,yes,no,yes
Tovu Island,180,South Pacific Ocean,Fiji,-17.34610809,178.0588479,Offered for Long-term Lease,yes,yes,yes,yes
Little Bay Estate,7,Europe,United Kingdom,18.49155551,-64.36499427,Price Upon Request,no,yes,yes,yes
26-Acre Island in Blue Ground Range,3,Central America,Belize,16.81485815,-88.15099613,Price Upon Request,no,yes,yes,yes
The Balam Escape,9500,Central America,Belize,17.98590843,-88.19813964,Price Upon Request,yes,yes,no,yes
Pair of Fiji Islands,25,South Pacific Ocean,Fiji,-17.1121121,177.2469064,Price Upon Request,yes,yes,no,yes
Gibraleon Island,227,Central America,Panama,8.516863891,-79.04516585,Price Upon Request,yes,yes,no,yes
Wailagilala Island,113,South Pacific Ocean,Fiji,-16.74894798,-179.103198,Price Upon Request,yes,yes,yes,yes
Denarau Peninsula,1,Australia,Australia,-17.7637128,177.3853344,Price Upon Request,no,yes,yes,yes
Jewel Caye,2,Central America,Belize,16.79078922,-88.15648325,Price Upon Request,no,yes,yes,yes
Reef Islands,237,South Pacific Ocean,Vanuatu,-13.62112287,167.5276565,Under Contract,yes,yes,no,yes
Elizabeth Island,65,Australia,Australia,-38.4162228,145.3689712,Price Upon Request,yes,yes,yes,yes
Thatch Cay,230,North America,United States of America,18.35849738,-64.85728765,Price Upon Request,yes,yes,no,yes
Lenur Island,84,South Pacific Ocean,Vanuatu,-16.51524556,167.5947246,Price Upon Request,yes,yes,no,yes
French Bay Property,130,North America,United States of America,18.3154662,-64.90495218,Price Upon Request,yes,yes,yes,yes
Private Island Exuma,46,North America,Bahamas,24.1843071,-76.44117358,Price Upon Request,yes,yes,yes,yes
Pebble Island,26247,South America,Falkland Islands,-51.2867891,-59.65204217,Under Contract,yes,yes,yes,yes
Funk Caye,3,Central America,Belize,16.55010812,-88.08482046,Price Upon Request,no,yes,no,yes